Brain_Area,Task_Activation,Post_Activation,FDR_p_value,Direction
pTHA-rh,0.178655216704306,-0.0584449313265518,0.00167488650714954,Decrease
PUT-rh,0.0842563368470921,-0.118676478074996,0.00370344839044413,Decrease
CAU-rh,0.106866429841748,-0.0533414430149111,0.0417566856856961,Decrease
aTHA-lh,0.168452729349237,-0.0519489288690809,0.00322431320948325,Decrease
PUT-lh,0.113544469777636,-0.139343430493189,0.00327025809388544,Decrease
CAU-lh,0.108046750401955,-0.156425693192758,0.00248728658790354,Decrease
VisCent,0.315221393927615,-0.139130628727537,0.000467541428455772,Decrease
VisPeri,0.261707751120051,-0.0231133099967438,0.00868132728187685,Decrease
SomMot A,0.248193451042286,-0.0383135881253818,0.00631562511790712,Decrease
DorsAttn A,0.296495856359462,-0.0685278751612265,0.00322431320948325,Decrease
DorsAttn B,0.297769308334315,-0.0896413736024865,0.00101726919996627,Decrease
Cont B,0.34183500733946,0.0754448245284854,0.00327025809388544,Decrease
Cont C,-0.199437403090849,0.207974276748107,0.000387055729716128,Increase
Default A,-0.257874610574855,0.0124973061553354,0.00322431320948325,Increase
TempPar,-0.245310196778863,0.122353816207348,0.00101726919996627,Increase
