Brain_Area,Task_Activation,Post_Activation,FDR_p_value,Direction
HIP-rh,-0.043262888200843,0.162931462302618,0.0396311801601607,Increase
NAc-rh,-0.0203921316276899,0.116973582156896,0.034934732092899,Increase
VisCent,0.315221393927615,0.0458900484286882,0.0396311801601607,Decrease
VisPeri,0.261707751120051,-0.038268440210819,0.0323342719598851,Decrease
SomMot A,0.248193451042286,-0.0861509111185351,0.0069635624333465,Decrease
DorsAttn B,0.297769308334315,-0.00819210526321947,0.0069635624333465,Decrease
Cont A,-0.102081964033238,0.0635430152388311,0.0396311801601607,Increase
Cont B,0.34183500733946,0.128187926438905,0.0323342719598851,Decrease
Default A,-0.257874610574855,-0.00898496482398024,0.0069635624333465,Increase
Default C,-0.254652907637809,-0.0407931443970024,0.034934732092899,Increase
