Brain_Area,Task_Activation,Post_Activation,FDR_p_value,Direction
aTHA-rh,0.174272934401587,-0.0755911851385978,0.00632288848884719,Decrease
AMY-lh,0.0154840829649451,-0.147097844783507,0.0147126992250662,Decrease
VisCent,0.315221393927615,0.0440103784433535,0.0147126992250662,Decrease
VisPeri,0.261707751120051,-0.0268592739728362,0.0147126992250662,Decrease
DorsAttn A,0.296495856359462,-0.115965028355664,0.000138257310053086,Decrease
DorsAttn B,0.297769308334315,-0.02398160258359,0.000138257310053086,Decrease
Limbic B,-0.0396478993673858,0.128193066121925,0.027773415103357,Increase
Cont B,0.34183500733946,-0.0447461686426735,0.000138257310053086,Decrease
Cont C,-0.199437403090849,-0.0454409970980853,0.0375099165158134,Increase
Default A,-0.257874610574855,-2.99208070451888e-05,0.00058005266462594,Increase
Default C,-0.254652907637809,-0.0533097300350206,0.0147126992250662,Increase
TempPar,-0.245310196778863,0.0232774526159915,0.000596937021188056,Increase
