Brain_Area,Task_Activation,Post_Activation,FDR_p_value,Direction
HIP-rh,-0.043262888200843,0.190385831222805,0.0162404230532719,Increase
AMY-rh,-0.0139771399775749,0.205127532505561,0.00719107924190309,Increase
pTHA-rh,0.178655216704306,-0.018527828719921,0.00980846615004417,Decrease
aTHA-rh,0.174272934401587,-0.226769918027023,0.000157060434544907,Decrease
GP-rh,0.0603843684163892,-0.160301621539986,0.0150460025471498,Decrease
PUT-rh,0.0842563368470921,-0.281381238073786,0.000766524149370203,Decrease
HIP-lh,-0.0483972041194344,0.202902421319682,0.00186546494092765,Increase
pTHA-lh,0.182845992996984,-0.160508627044169,0.000766524149370203,Decrease
aTHA-lh,0.168452729349237,-0.173168327944286,0.000658174785296079,Decrease
GP-lh,0.104798827046932,-0.227468976443628,0.000238541147059836,Decrease
PUT-lh,0.113544469777636,-0.137968675346408,0.00523697622189706,Decrease
CAU-lh,0.108046750401955,-0.152278172612476,0.0189843959607803,Decrease
VisCent,0.315221393927615,0.0574359360177301,0.0150460025471498,Decrease
VisPeri,0.261707751120051,0.0527272522235725,0.0378843937049815,Decrease
SomMot B,-0.0633003774855096,0.272170405486941,0.00955560411057743,Increase
DorsAttn A,0.296495856359462,-0.053166093357841,0.00323230736687111,Decrease
DorsAttn B,0.297769308334315,-0.0192130223556659,0.00323230736687111,Decrease
Cont B,0.34183500733946,-0.169954727301924,0.000157060434544907,Decrease
Default A,-0.257874610574855,0.0902217749285684,0.00126873240997334,Increase
Default C,-0.254652907637809,-0.0523778234599133,0.0175509761419583,Increase
TempPar,-0.245310196778863,-0.0288684657262778,0.00955560411057743,Increase
