Brain_Area,Task_Activation,Post_Activation,FDR_p_value,Direction
AMY-rh,-0.0139771399775749,0.101298131298984,0.0497232667377883,Increase
pTHA-rh,0.178655216704306,-0.283613818082759,0.000157060434544907,Decrease
aTHA-rh,0.174272934401587,-0.129151176265575,0.00103875419311647,Decrease
NAc-rh,-0.0203921316276899,-0.216039649715009,0.0139088711779027,Decrease
PUT-rh,0.0842563368470921,-0.213167381098376,0.011048961995116,Decrease
CAU-rh,0.106866429841748,-0.209204855004057,0.00119634750510681,Decrease
pTHA-lh,0.182845992996984,-0.109048865511911,0.00119634750510681,Decrease
aTHA-lh,0.168452729349237,-0.102943117145786,0.00322431320948325,Decrease
PUT-lh,0.113544469777636,-0.259113349991586,0.00103875419311647,Decrease
CAU-lh,0.108046750401955,-0.17540182313054,0.00176244282851045,Decrease
VisCent,0.315221393927615,0.0400925339300069,0.0232190538166294,Decrease
VisPeri,0.261707751120051,-0.0307207085744121,0.00519608286484532,Decrease
SalVentAttn B,0.077099110850549,-0.274170029412536,0.000157060434544907,Decrease
Cont B,0.34183500733946,0.0664828917097098,0.0116924017675238,Decrease
Default C,-0.254652907637809,-0.0487362735106626,0.0136541745979137,Increase
TempPar,-0.245310196778863,0.163437321146625,0.000934492182364982,Increase
