Brain_Area,Task_Activation,Post_Activation,FDR_p_value,Direction
HIP-rh,-0.043262888200843,0.134036774229628,0.0399342774221194,Increase
pTHA-rh,0.178655216704306,0.0585334390891977,0.0418722246212954,Decrease
aTHA-rh,0.174272934401587,-0.0105845906286064,0.0375901926792072,Decrease
GP-rh,0.0603843684163892,-0.101402933766736,0.0418722246212954,Decrease
PUT-rh,0.0842563368470921,-0.117935917649273,0.0185351542397217,Decrease
CAU-rh,0.106866429841748,-0.121186890557885,0.0186154130719565,Decrease
HIP-lh,-0.0483972041194344,0.168915478264267,0.0212810165310893,Increase
PUT-lh,0.113544469777636,-0.151066797435939,0.00201422037544052,Decrease
CAU-lh,0.108046750401955,-0.127701679640366,0.0161671359799426,Decrease
VisPeri,0.261707751120051,0.0670098188183676,0.0188110095884841,Decrease
SomMot A,0.248193451042286,0.0402307925883255,0.0208805439256353,Decrease
DorsAttn A,0.296495856359462,-0.0987246951825469,0.000394988688700763,Decrease
DorsAttn B,0.297769308334315,-0.0413508889460499,0.00201422037544052,Decrease
SalVentAttn A,0.112394921541784,-0.205041878651207,0.000865293493035013,Decrease
SalVentAttn B,0.077099110850549,-0.201937022184896,0.000394988688700763,Decrease
Cont B,0.34183500733946,-0.133148262014987,0.000124247269179244,Decrease
Default A,-0.257874610574855,-0.0230207012145597,0.00404038420858888,Increase
Default B,-0.0422693022989184,0.200815419704392,0.0100752663628831,Increase
Default C,-0.254652907637809,0.215741978235991,0.000168417510398499,Increase
