Brain_Area,Task_Activation,Post_Activation,FDR_p_value,Direction
pTHA-rh,0.178655216704306,-0.130417321643837,0.00104627226860912,Decrease
aTHA-rh,0.174272934401587,-0.085610511009332,0.00301193164063962,Decrease
NAc-rh,-0.0203921316276899,0.244735865018688,0.00700532095022378,Increase
GP-rh,0.0603843684163892,-0.155083164147505,0.0287931387485927,Decrease
pTHA-lh,0.182845992996984,-0.153932724235972,0.000263325792467175,Decrease
aTHA-lh,0.168452729349237,-0.0732415278035599,0.00291825622562178,Decrease
PUT-lh,0.113544469777636,0.282377871270172,0.0127429185398087,Increase
VisCent,0.315221393927615,-0.200344889259937,0.000291862849343014,Decrease
VisPeri,0.261707751120051,-0.15206014581125,0.000478271398438358,Decrease
SomMot A,0.248193451042286,-0.041041385462487,0.0020071517447547,Decrease
DorsAttn A,0.296495856359462,-0.110211217787882,0.000228040220172137,Decrease
DorsAttn B,0.297769308334315,-0.00515846349965664,0.000228040220172137,Decrease
Cont B,0.34183500733946,-0.0535934109068172,0.000228040220172137,Decrease
Cont C,-0.199437403090849,0.0719335612683284,0.0011209436549415,Increase
Default A,-0.257874610574855,0.165422587348321,0.000228040220172137,Increase
Default C,-0.254652907637809,0.193629976503235,7.99746748882398e-05,Increase
TempPar,-0.245310196778863,0.0425117749784546,0.00284189988623281,Increase
