feature,r
terms_abstract_tfidf__001,0.0982461847898937
terms_abstract_tfidf__01,0.12466489074000302
terms_abstract_tfidf__05,0.07546328369958478
terms_abstract_tfidf__10,0.19374065393406667
terms_abstract_tfidf__100,0.060497522568190944
terms_abstract_tfidf__11,0.06488865002479492
terms_abstract_tfidf__12,0.07207263446197779
terms_abstract_tfidf__12 healthy,0.02232805031122021
terms_abstract_tfidf__13,0.10099943633393925
terms_abstract_tfidf__14,0.005669770877977594
terms_abstract_tfidf__14 healthy,-0.02836305971915512
terms_abstract_tfidf__15,0.01866650739743616
terms_abstract_tfidf__15 healthy,0.008178008740082275
terms_abstract_tfidf__16,0.10466085080731247
terms_abstract_tfidf__16 healthy,0.06688252734248473
terms_abstract_tfidf__17,0.08303101582327099
terms_abstract_tfidf__18,0.07303321633914008
terms_abstract_tfidf__18 healthy,0.04668938013816397
terms_abstract_tfidf__19,0.026022234585689315
terms_abstract_tfidf__20,0.02783101523077907
terms_abstract_tfidf__20 healthy,-0.02439773162437151
terms_abstract_tfidf__200,-0.03576015950587769
terms_abstract_tfidf__2014,0.002477916074161556
terms_abstract_tfidf__21,0.10436778116530607
terms_abstract_tfidf__22,0.06361837222989701
terms_abstract_tfidf__23,0.06933970804337457
terms_abstract_tfidf__24,0.10120833903505484
terms_abstract_tfidf__25,0.1219221038033266
terms_abstract_tfidf__26,0.07898622530783266
terms_abstract_tfidf__27,0.07760787138265086
terms_abstract_tfidf__28,0.11541144850527982
terms_abstract_tfidf__29,0.05010201452451143
terms_abstract_tfidf__30,0.03445080037580511
terms_abstract_tfidf__31,0.11091792956121324
terms_abstract_tfidf__32,0.13904620142499885
terms_abstract_tfidf__33,0.08319281466554306
terms_abstract_tfidf__34,0.10534086460708558
terms_abstract_tfidf__35,0.0985210766775211
terms_abstract_tfidf__36,-0.010548976231616512
terms_abstract_tfidf__37,-0.06107422661102784
terms_abstract_tfidf__38,0.09612469036993923
terms_abstract_tfidf__39,0.08857033848715695
terms_abstract_tfidf__3d,-0.2247306324554547
terms_abstract_tfidf__3t,0.05623441766525958
terms_abstract_tfidf__40,-0.08567494633644775
terms_abstract_tfidf__41,0.06229779743859681
terms_abstract_tfidf__42,0.04963768883706341
terms_abstract_tfidf__43,0.1311278507843691
terms_abstract_tfidf__44,-0.027431520682771018
terms_abstract_tfidf__45,-0.05504294104213046
terms_abstract_tfidf__46,0.07995799994183117
terms_abstract_tfidf__47,0.07351066654546957
terms_abstract_tfidf__48,0.06302696282087075
terms_abstract_tfidf__49,0.08679477637228963
terms_abstract_tfidf__50,0.09044927038933381
terms_abstract_tfidf__60,-0.053953923583490576
terms_abstract_tfidf__70,-0.018595566789253587
terms_abstract_tfidf__75,0.0010893746659760783
terms_abstract_tfidf__80,-0.031237369983660987
terms_abstract_tfidf__90,-0.04811482133945822
terms_abstract_tfidf__aberrant,0.21744883548327362
terms_abstract_tfidf__abilities,-0.08681313910266496
terms_abstract_tfidf__ability,0.022636162507046313
terms_abstract_tfidf__able,-0.04775632583834566
terms_abstract_tfidf__abnormal,0.13333583595569384
terms_abstract_tfidf__abnormalities,0.09983907379945955
terms_abstract_tfidf__abnormality,0.10443364428868789
terms_abstract_tfidf__absence,-0.07480123121458226
terms_abstract_tfidf__absent,0.029223974439145848
terms_abstract_tfidf__abstract,-0.10896741240077068
terms_abstract_tfidf__abuse,0.10675548902988131
terms_abstract_tfidf__acc,0.23420735277457239
terms_abstract_tfidf__access,-0.09533156267472698
terms_abstract_tfidf__accompanied,0.10388853008256979
terms_abstract_tfidf__accordance,-0.03320790525880183
terms_abstract_tfidf__according,-0.026800389227797303
terms_abstract_tfidf__accordingly,-0.029465491877131805
terms_abstract_tfidf__account,-0.029901976169673772
terms_abstract_tfidf__accounted,-0.025622421627364254
terms_abstract_tfidf__accounts,0.04574123741880485
terms_abstract_tfidf__accumbens,0.19453496607248816
terms_abstract_tfidf__accuracy,0.08244463687046341
terms_abstract_tfidf__accurate,-0.04160098928320469
terms_abstract_tfidf__accurately,0.07003053487598951
terms_abstract_tfidf__achieve,-0.033161583439451206
terms_abstract_tfidf__achieved,-0.022252985488866568
terms_abstract_tfidf__acoustic,0.013340685044750075
terms_abstract_tfidf__acquired,0.013424708834761177
terms_abstract_tfidf__acquisition,-0.02695054263257039
terms_abstract_tfidf__act,0.003360796639086394
terms_abstract_tfidf__action,-0.1345003520677214
terms_abstract_tfidf__action observation,-0.22014838643325724
terms_abstract_tfidf__actions,-0.16081677266533845
terms_abstract_tfidf__activate,-0.16359496848353214
terms_abstract_tfidf__activates,-0.07463222641244383
terms_abstract_tfidf__activations,-0.1370498113575979
terms_abstract_tfidf__active,-0.010949546868325992
terms_abstract_tfidf__actively,-0.026339904397154376
terms_abstract_tfidf__activities,-0.0018866346992872675
terms_abstract_tfidf__acts,-0.03045005341323867
terms_abstract_tfidf__actual,0.011013155029787156
terms_abstract_tfidf__actually,-0.027303460954157716
terms_abstract_tfidf__acute,0.10661205800317597
terms_abstract_tfidf__ad,0.04780722794319287
terms_abstract_tfidf__adaptation,-0.18496465228934106
terms_abstract_tfidf__adapted,0.01650438560882395
terms_abstract_tfidf__adaptive,0.16352534523614892
terms_abstract_tfidf__add,-0.05287133053676109
terms_abstract_tfidf__addiction,0.15155854942680355
terms_abstract_tfidf__addition,-0.0013421441218134387
terms_abstract_tfidf__additional,-0.13724261100414198
terms_abstract_tfidf__additionally,0.03165533680556804
terms_abstract_tfidf__addressed,0.013594270153586985
terms_abstract_tfidf__adhd,0.18086705232022424
terms_abstract_tfidf__adjacent,-0.10633803279823958
terms_abstract_tfidf__administered,0.012241887746609708
terms_abstract_tfidf__administration,0.08582990460949268
terms_abstract_tfidf__adolescence,0.1428990779082485
terms_abstract_tfidf__adolescent,0.22898201549883018
terms_abstract_tfidf__adolescents,0.1712041233835581
terms_abstract_tfidf__adopted,-0.025867458044126927
terms_abstract_tfidf__adult,0.0727772294922423
terms_abstract_tfidf__adulthood,0.12070536367621669
terms_abstract_tfidf__adults,0.11666597758940167
terms_abstract_tfidf__advance,-0.060814894177223376
terms_abstract_tfidf__advanced,-0.03268949969033249
terms_abstract_tfidf__advances,0.07704016058891215
terms_abstract_tfidf__advantage,-0.12112630128050021
terms_abstract_tfidf__affect,0.06295787718820968
terms_abstract_tfidf__affected,-0.007038398326863015
terms_abstract_tfidf__affecting,-0.060888854121855414
terms_abstract_tfidf__affective,0.14468289095322415
terms_abstract_tfidf__affects,0.057005971291347775
terms_abstract_tfidf__age,0.12588501552933126
terms_abstract_tfidf__age controls,-0.05875017908589857
terms_abstract_tfidf__age gender,0.11501389396683599
terms_abstract_tfidf__age groups,0.005812027941211601
terms_abstract_tfidf__age healthy,-0.0265308313412596
terms_abstract_tfidf__age sex,0.06550241802161055
terms_abstract_tfidf__aged,0.07801269938318084
terms_abstract_tfidf__agent,-0.04746122526367426
terms_abstract_tfidf__ages,0.0787580784148666
terms_abstract_tfidf__aging,0.0848901373691669
terms_abstract_tfidf__agreement,0.0325619223324025
terms_abstract_tfidf__aim,0.020797111491524543
terms_abstract_tfidf__aimed,0.07142175044115098
terms_abstract_tfidf__aims,0.07550206735677364
terms_abstract_tfidf__al,0.03512619399515152
terms_abstract_tfidf__alcohol,0.12763460262252455
terms_abstract_tfidf__alff,0.035818884627886176
terms_abstract_tfidf__algorithm,-0.019966943149334327
terms_abstract_tfidf__allele,0.09916096534216436
terms_abstract_tfidf__allocation,-0.03456648954829271
terms_abstract_tfidf__allow,-0.07044652931522317
terms_abstract_tfidf__allowed,-0.11245102888589455
terms_abstract_tfidf__allowing,0.02547489500127761
terms_abstract_tfidf__allows,-0.013699155216113952
terms_abstract_tfidf__alpha,-0.07552933871429461
terms_abstract_tfidf__alter,0.11198648713484372
terms_abstract_tfidf__alteration,0.025501730680072564
terms_abstract_tfidf__alterations,0.10859708326686127
terms_abstract_tfidf__altered,0.1956780329525722
terms_abstract_tfidf__alternating,-0.024102119199477266
terms_abstract_tfidf__alternative,0.07113650123045545
terms_abstract_tfidf__alters,-0.015875026510177817
terms_abstract_tfidf__alzheimer,0.03522369988218167
terms_abstract_tfidf__alzheimer disease,0.03505548583713069
terms_abstract_tfidf__ambiguous,-0.026116192472984707
terms_abstract_tfidf__amnestic,0.04400788408970865
terms_abstract_tfidf__amplitude,-0.06782372722667614
terms_abstract_tfidf__amplitude low,0.024427209477547725
terms_abstract_tfidf__amplitudes,-0.08211230670734986
terms_abstract_tfidf__amygdala,0.09050552794790916
terms_abstract_tfidf__amygdala anterior,0.056247730181480785
terms_abstract_tfidf__amygdala hippocampus,0.04336011995055315
terms_abstract_tfidf__amygdala insula,0.04222764262759355
terms_abstract_tfidf__amygdala response,0.050322102822307396
terms_abstract_tfidf__amygdala responses,-0.023058338093461563
terms_abstract_tfidf__analysed,0.01939983322209237
terms_abstract_tfidf__analyses,0.09101508431795004
terms_abstract_tfidf__analyze,-0.10846755932526113
terms_abstract_tfidf__analyzed,0.02479550960402019
terms_abstract_tfidf__analyzed using,0.014549247311604788
terms_abstract_tfidf__analyzing,-0.07949987022242862
terms_abstract_tfidf__anatomical,-0.054894745067811904
terms_abstract_tfidf__anatomically,0.022951743946383718
terms_abstract_tfidf__anatomy,-0.04342672814740482
terms_abstract_tfidf__anger,-0.019866374919882773
terms_abstract_tfidf__angry,-0.043372130113682086
terms_abstract_tfidf__angular,0.030123984178145925
terms_abstract_tfidf__angular gyrus,0.04288989611314739
terms_abstract_tfidf__animal,0.04758876143682506
terms_abstract_tfidf__animals,-0.02815880754979866
terms_abstract_tfidf__anisotropy,0.014086178232184991
terms_abstract_tfidf__anisotropy fa,0.0015401387207364377
terms_abstract_tfidf__anterior,0.27713158959700007
terms_abstract_tfidf__anterior cingulate,0.28246926670788536
terms_abstract_tfidf__anterior hippocampus,-0.04993005559578792
terms_abstract_tfidf__anterior insula,0.23326543658080395
terms_abstract_tfidf__anterior insular,0.10826212711459317
terms_abstract_tfidf__anterior intraparietal,-0.1736919390150729
terms_abstract_tfidf__anterior medial,0.10502473883297093
terms_abstract_tfidf__anterior posterior,0.11570819672361729
terms_abstract_tfidf__anterior prefrontal,0.11321148076119451
terms_abstract_tfidf__anterior superior,-0.04147242625257827
terms_abstract_tfidf__anterior temporal,-0.053315070465003785
terms_abstract_tfidf__anti,0.08676368283385157
terms_abstract_tfidf__anticipation,0.20103657017368035
terms_abstract_tfidf__anticipatory,0.09900906373207424
terms_abstract_tfidf__anxiety,0.11964510275674015
terms_abstract_tfidf__anxiety disorders,0.05075449060287522
terms_abstract_tfidf__apart,-0.007036155573194893
terms_abstract_tfidf__aphasia,-0.04434898559439517
terms_abstract_tfidf__apparent,-0.0704910115748713
terms_abstract_tfidf__appear,-0.06612571089539504
terms_abstract_tfidf__appeared,-0.05854853873936002
terms_abstract_tfidf__appears,-0.09661955374050055
terms_abstract_tfidf__application,0.11779358216250559
terms_abstract_tfidf__applied,0.0861215087446984
terms_abstract_tfidf__apply,-0.0019248524468289318
terms_abstract_tfidf__applying,-0.0820931464581146
terms_abstract_tfidf__appraisal,0.05826173880822734
terms_abstract_tfidf__approach,0.07944916515786456
terms_abstract_tfidf__approaches,0.1465432121729628
terms_abstract_tfidf__appropriate,-0.009483752873909027
terms_abstract_tfidf__approximately,-0.033448486222682976
terms_abstract_tfidf__architecture,0.12607154973928408
terms_abstract_tfidf__argue,-0.10610305201965514
terms_abstract_tfidf__arise,0.041994300397465906
terms_abstract_tfidf__arithmetic,-0.04177577293639779
terms_abstract_tfidf__arm,-0.12735167453937582
terms_abstract_tfidf__arousal,0.08673497963811122
terms_abstract_tfidf__arterial,0.11022267515004326
terms_abstract_tfidf__arterial spin,0.11922052305774042
terms_abstract_tfidf__articulatory,-0.06269458535312199
