feature,r
terms_abstract_tfidf__001,-0.0640070196694268
terms_abstract_tfidf__01,-0.04033884611138206
terms_abstract_tfidf__05,-0.019207077393721395
terms_abstract_tfidf__10,-0.10347259494598077
terms_abstract_tfidf__100,-0.01814628716189175
terms_abstract_tfidf__11,0.04340491493983746
terms_abstract_tfidf__12,-0.07314931593669585
terms_abstract_tfidf__12 healthy,-0.0339436666222071
terms_abstract_tfidf__13,-0.06352546062740826
terms_abstract_tfidf__14,-0.008002370023953693
terms_abstract_tfidf__14 healthy,0.027347750546634676
terms_abstract_tfidf__15,0.028815215316595484
terms_abstract_tfidf__15 healthy,-0.017598035553194575
terms_abstract_tfidf__16,-0.03901538621511045
terms_abstract_tfidf__16 healthy,1.3169440199281029e-05
terms_abstract_tfidf__17,0.01100189586807744
terms_abstract_tfidf__18,-0.03850019265890273
terms_abstract_tfidf__18 healthy,-0.02666449687778684
terms_abstract_tfidf__19,-0.018724369763832564
terms_abstract_tfidf__20,-0.04026119064949668
terms_abstract_tfidf__20 healthy,-0.01613134821135859
terms_abstract_tfidf__200,0.0536246445737565
terms_abstract_tfidf__2014,0.04453844899535591
terms_abstract_tfidf__21,-0.03838039199555487
terms_abstract_tfidf__22,0.0284043481311133
terms_abstract_tfidf__23,-0.009232643521779835
terms_abstract_tfidf__24,-0.03875495861036472
terms_abstract_tfidf__25,-0.027499719893449265
terms_abstract_tfidf__26,-0.03486790512462978
terms_abstract_tfidf__27,-0.04583065649473174
terms_abstract_tfidf__28,-7.833515413546469e-05
terms_abstract_tfidf__29,-0.011921966706190924
terms_abstract_tfidf__30,-0.00261943644707238
terms_abstract_tfidf__31,-0.06740817351018978
terms_abstract_tfidf__32,-0.12217412173322428
terms_abstract_tfidf__33,0.011975716742321495
terms_abstract_tfidf__34,-0.01814528110685419
terms_abstract_tfidf__35,-0.02262277007102702
terms_abstract_tfidf__36,0.027541076998932577
terms_abstract_tfidf__37,0.036814781477609
terms_abstract_tfidf__38,-0.039074466008458944
terms_abstract_tfidf__39,-0.05451726552079282
terms_abstract_tfidf__3d,0.06280034101852545
terms_abstract_tfidf__3t,0.017322853700864844
terms_abstract_tfidf__40,0.020346634518432338
terms_abstract_tfidf__41,-0.004114549823377338
terms_abstract_tfidf__42,0.043946670577291624
terms_abstract_tfidf__43,0.0070130395834298795
terms_abstract_tfidf__44,0.020937751837322195
terms_abstract_tfidf__45,0.03196332801359217
terms_abstract_tfidf__46,-0.09190126700474925
terms_abstract_tfidf__47,-0.07659530442717592
terms_abstract_tfidf__48,0.010045777029041667
terms_abstract_tfidf__49,-0.04831252598077608
terms_abstract_tfidf__50,0.05852464918708795
terms_abstract_tfidf__60,0.03196848804383251
terms_abstract_tfidf__70,-0.02737458855867154
terms_abstract_tfidf__75,0.00714480863809588
terms_abstract_tfidf__80,0.05252171725395457
terms_abstract_tfidf__90,-0.009698167677913754
terms_abstract_tfidf__aberrant,-0.07988448527195595
terms_abstract_tfidf__abilities,0.003175520912742762
terms_abstract_tfidf__ability,-0.042217740777306625
terms_abstract_tfidf__able,0.041356465168751154
terms_abstract_tfidf__abnormal,-0.07398187050711667
terms_abstract_tfidf__abnormalities,-0.015780390630077384
terms_abstract_tfidf__abnormality,-0.040079975041418005
terms_abstract_tfidf__absence,0.09127707050839903
